Year,River,Species,Escapement_Count,Count_Type,Expansion
2012,Montana Creek,Coho Salmon,394,Survey,Unexpanded
2013,Montana Creek,Coho Salmon,367,Survey,Unexpanded
2014,Montana Creek,Coho Salmon,911,Survey,Unexpanded
2015,Montana Creek,Coho Salmon,1204,Survey,Unexpanded
2016,Montana Creek,Coho Salmon,717,Survey,Unexpanded
2017,Montana Creek,Coho Salmon,634,Survey,Unexpanded
2018,Montana Creek,Coho Salmon,1160,Survey,Unexpanded
2019,Montana Creek,Coho Salmon,203,Survey,Unexpanded
1972,Peterson Creek,Coho Salmon,NA,NA,NA
1973,Peterson Creek,Coho Salmon,NA,NA,NA
1974,Peterson Creek,Coho Salmon,NA,NA,NA
1975,Peterson Creek,Coho Salmon,NA,NA,NA
1976,Peterson Creek,Coho Salmon,NA,NA,NA
1977,Peterson Creek,Coho Salmon,NA,NA,NA
1978,Peterson Creek,Coho Salmon,NA,NA,NA
1979,Peterson Creek,Coho Salmon,NA,NA,NA
1980,Peterson Creek,Coho Salmon,NA,NA,NA
1981,Peterson Creek,Coho Salmon,219,Survey,Unexpanded
1982,Peterson Creek,Coho Salmon,320,Survey,Unexpanded
1983,Peterson Creek,Coho Salmon,219,Survey,Unexpanded
1984,Peterson Creek,Coho Salmon,189,Survey,Unexpanded
1985,Peterson Creek,Coho Salmon,276,Survey,Unexpanded
1986,Peterson Creek,Coho Salmon,363,Survey,Unexpanded
1987,Peterson Creek,Coho Salmon,204,Survey,Unexpanded
1988,Peterson Creek,Coho Salmon,542,Survey,Unexpanded
1989,Peterson Creek,Coho Salmon,242,Survey,Unexpanded
1990,Peterson Creek,Coho Salmon,324,Survey,Unexpanded
1991,Peterson Creek,Coho Salmon,410,Survey,Unexpanded
1992,Peterson Creek,Coho Salmon,403,Survey,Unexpanded
1993,Peterson Creek,Coho Salmon,112,Survey,Unexpanded
1994,Peterson Creek,Coho Salmon,318,Survey,Unexpanded
1995,Peterson Creek,Coho Salmon,277,Survey,Unexpanded
1996,Peterson Creek,Coho Salmon,263,Survey,Unexpanded
1997,Peterson Creek,Coho Salmon,186,Survey,Unexpanded
1998,Peterson Creek,Coho Salmon,102,Survey,Unexpanded
1999,Peterson Creek,Coho Salmon,272,Survey,Unexpanded
2000,Peterson Creek,Coho Salmon,202,Survey,Unexpanded
2001,Peterson Creek,Coho Salmon,106,Survey,Unexpanded
2002,Peterson Creek,Coho Salmon,195,Survey,Unexpanded
2003,Peterson Creek,Coho Salmon,203,Survey,Unexpanded
2004,Peterson Creek,Coho Salmon,284,Survey,Unexpanded
2005,Peterson Creek,Coho Salmon,139,Survey,Unexpanded
2006,Peterson Creek,Coho Salmon,439,Survey,Unexpanded
2007,Peterson Creek,Coho Salmon,226,Survey,Unexpanded
2008,Peterson Creek,Coho Salmon,660,Survey,Unexpanded
2009,Peterson Creek,Coho Salmon,123,Survey,Unexpanded
2010,Peterson Creek,Coho Salmon,467,Survey,Unexpanded
2011,Peterson Creek,Coho Salmon,138,Survey,Unexpanded
2012,Peterson Creek,Coho Salmon,190,Survey,Unexpanded
2013,Peterson Creek,Coho Salmon,126,Survey,Unexpanded
2014,Peterson Creek,Coho Salmon,284,Survey,Unexpanded
2015,Peterson Creek,Coho Salmon,202,Survey,Unexpanded
2016,Peterson Creek,Coho Salmon,52,Survey,Unexpanded
2017,Peterson Creek,Coho Salmon,20,Survey,Unexpanded
2018,Peterson Creek,Coho Salmon,110,Survey,Unexpanded
2019,Peterson Creek,Coho Salmon,NA,Survey,NA
1972,Berners River,Coho Salmon,NA,NA,NA
1973,Berners River,Coho Salmon,NA,NA,NA
1974,Berners River,Coho Salmon,NA,NA,NA
1975,Berners River,Coho Salmon,NA,NA,NA
1976,Berners River,Coho Salmon,NA,NA,NA
1977,Berners River,Coho Salmon,NA,NA,NA
1978,Berners River,Coho Salmon,NA,NA,NA
1979,Berners River,Coho Salmon,NA,NA,NA
1980,Berners River,Coho Salmon,NA,NA,NA
1981,Berners River,Coho Salmon,NA,NA,NA
1982,Berners River,Coho Salmon,7505,Survey,Unexpanded
1983,Berners River,Coho Salmon,9840,Survey,Unexpanded
1984,Berners River,Coho Salmon,2825,Survey,Unexpanded
1985,Berners River,Coho Salmon,6169,Survey,Unexpanded
1986,Berners River,Coho Salmon,1752,Survey,Unexpanded
1987,Berners River,Coho Salmon,3260,Survey,Unexpanded
1988,Berners River,Coho Salmon,2724,Survey,Unexpanded
1989,Berners River,Coho Salmon,7509,Survey,Unexpanded
1990,Berners River,Coho Salmon,11050,Survey,Unexpanded
1991,Berners River,Coho Salmon,11530,Survey,Unexpanded
1992,Berners River,Coho Salmon,15300,Survey,Unexpanded
1993,Berners River,Coho Salmon,15670,Survey,Unexpanded
1994,Berners River,Coho Salmon,15920,Survey,Unexpanded
1995,Berners River,Coho Salmon,4945,Survey,Unexpanded
1996,Berners River,Coho Salmon,6050,Survey,Unexpanded
1997,Berners River,Coho Salmon,10050,Survey,Unexpanded
1998,Berners River,Coho Salmon,6802,Survey,Unexpanded
1999,Berners River,Coho Salmon,9920,Survey,Unexpanded
2000,Berners River,Coho Salmon,10650,Survey,Unexpanded
2001,Berners River,Coho Salmon,19290,Survey,Unexpanded
2002,Berners River,Coho Salmon,27700,Survey,Unexpanded
2003,Berners River,Coho Salmon,10110,Survey,Unexpanded
2004,Berners River,Coho Salmon,14450,Survey,Unexpanded
2005,Berners River,Coho Salmon,5220,Survey,Unexpanded
2006,Berners River,Coho Salmon,5470,Survey,Unexpanded
2007,Berners River,Coho Salmon,3915,Survey,Unexpanded
2008,Berners River,Coho Salmon,6870,Survey,Unexpanded
2009,Berners River,Coho Salmon,4230,Survey,Unexpanded
2010,Berners River,Coho Salmon,7520,Survey,Unexpanded
2011,Berners River,Coho Salmon,6050,Survey,Unexpanded
2012,Berners River,Coho Salmon,5480,Survey,Unexpanded
2013,Berners River,Coho Salmon,6280,Survey,Unexpanded
2014,Berners River,Coho Salmon,15480,Survey,Unexpanded
2015,Berners River,Coho Salmon,9940,Survey,Unexpanded
2016,Berners River,Coho Salmon,6733,Survey,Unexpanded
2017,Berners River,Coho Salmon,7040,Survey,Unexpanded
2018,Berners River,Coho Salmon,3550,Survey,Unexpanded
2019,Berners River,Coho Salmon,9405,Survey,Unexpanded
1972,Chilkat River,Coho Salmon,NA,NA,NA
1973,Chilkat River,Coho Salmon,NA,NA,NA
1974,Chilkat River,Coho Salmon,NA,NA,NA
1975,Chilkat River,Coho Salmon,NA,NA,NA
1976,Chilkat River,Coho Salmon,NA,NA,NA
1977,Chilkat River,Coho Salmon,NA,NA,NA
1978,Chilkat River,Coho Salmon,NA,NA,NA
1979,Chilkat River,Coho Salmon,NA,NA,NA
1980,Chilkat River,Coho Salmon,NA,NA,NA
1981,Chilkat River,Coho Salmon,NA,NA,NA
1982,Chilkat River,Coho Salmon,NA,NA,NA
1983,Chilkat River,Coho Salmon,NA,NA,NA
1984,Chilkat River,Coho Salmon,NA,NA,NA
1985,Chilkat River,Coho Salmon,NA,NA,NA
1986,Chilkat River,Coho Salmon,NA,NA,NA
1987,Chilkat River,Coho Salmon,37432,Mark Recapture / Survey?,
1988,Chilkat River,Coho Salmon,29495,Mark Recapture / Survey?,
1989,Chilkat River,Coho Salmon,48833,Mark Recapture / Survey?,
1990,Chilkat River,Coho Salmon,79807,Mark Recapture / Survey?,
1991,Chilkat River,Coho Salmon,84517,Mark Recapture / Survey?,
1992,Chilkat River,Coho Salmon,77588,Mark Recapture / Survey?,
1993,Chilkat River,Coho Salmon,58217,Mark Recapture / Survey?,
1994,Chilkat River,Coho Salmon,194425,Mark Recapture / Survey?,
1995,Chilkat River,Coho Salmon,56737,Mark Recapture / Survey?,
1996,Chilkat River,Coho Salmon,37331,Mark Recapture / Survey?,
1997,Chilkat River,Coho Salmon,43519,Mark Recapture / Survey?,
1998,Chilkat River,Coho Salmon,50758,Mark Recapture / Survey?,
1999,Chilkat River,Coho Salmon,57140,Mark Recapture / Survey?,
2000,Chilkat River,Coho Salmon,84843,Mark Recapture / Survey?,
2001,Chilkat River,Coho Salmon,107697,Mark Recapture / Survey?,
2002,Chilkat River,Coho Salmon,204925,Mark Recapture / Survey?,
2003,Chilkat River,Coho Salmon,133109,Mark Recapture / Survey?,
2004,Chilkat River,Coho Salmon,67053,Mark Recapture / Survey?,
2005,Chilkat River,Coho Salmon,34575,Mark Recapture / Survey?,
2006,Chilkat River,Coho Salmon,79050,Mark Recapture / Survey?,
2007,Chilkat River,Coho Salmon,24770,Mark Recapture / Survey?,
2008,Chilkat River,Coho Salmon,56369,Mark Recapture / Survey?,
2009,Chilkat River,Coho Salmon,47911,Mark Recapture / Survey?,
2010,Chilkat River,Coho Salmon,84909,Mark Recapture / Survey?,
2011,Chilkat River,Coho Salmon,61099,Mark Recapture / Survey?,
2012,Chilkat River,Coho Salmon,36961,Mark Recapture / Survey?,
2013,Chilkat River,Coho Salmon,51324,Mark Recapture / Survey?,
2014,Chilkat River,Coho Salmon,130200,Mark Recapture / Survey?,
2015,Chilkat River,Coho Salmon,47372,Mark Recapture / Survey?,
2016,Chilkat River,Coho Salmon,26280,Mark Recapture / Survey?,
2017,Chilkat River,Coho Salmon,34482,Mark Recapture / Survey?,
2018,Chilkat River,Coho Salmon,66085,Mark Recapture / Survey?,
2019,Chilkat River,Coho Salmon,34779,Mark Recapture / Survey?,
1972,Taku River,Coho Salmon,NA,NA,NA
1973,Taku River,Coho Salmon,NA,NA,NA
1974,Taku River,Coho Salmon,NA,NA,NA
1975,Taku River,Coho Salmon,NA,NA,NA
1976,Taku River,Coho Salmon,NA,NA,NA
1977,Taku River,Coho Salmon,NA,NA,NA
1978,Taku River,Coho Salmon,NA,NA,NA
1979,Taku River,Coho Salmon,NA,NA,NA
1980,Taku River,Coho Salmon,NA,NA,NA
1981,Taku River,Coho Salmon,NA,NA,NA
1982,Taku River,Coho Salmon,NA,NA,NA
1983,Taku River,Coho Salmon,NA,NA,NA
1984,Taku River,Coho Salmon,NA,NA,NA
1985,Taku River,Coho Salmon,NA,NA,NA
1986,Taku River,Coho Salmon,NA,NA,NA
1987,Taku River,Coho Salmon,55457,Mark-Recapture,Unexpanded
1988,Taku River,Coho Salmon,39450,Mark-Recapture,Unexpanded
1989,Taku River,Coho Salmon,56808,Mark-Recapture,Unexpanded
1990,Taku River,Coho Salmon,72196,Mark-Recapture,Unexpanded
1991,Taku River,Coho Salmon,127484,Mark-Recapture,Unexpanded
1992,Taku River,Coho Salmon,83729,Mark-Recapture,Unexpanded
1993,Taku River,Coho Salmon,119330,Mark-Recapture,Unexpanded
1994,Taku River,Coho Salmon,96343,Mark-Recapture,Unexpanded
1995,Taku River,Coho Salmon,55710,Mark-Recapture,Unexpanded
1996,Taku River,Coho Salmon,44635,Mark-Recapture,Unexpanded
1997,Taku River,Coho Salmon,32345,Mark-Recapture,Unexpanded
1998,Taku River,Coho Salmon,61382,Mark-Recapture,Unexpanded
1999,Taku River,Coho Salmon,60768,Mark-Recapture,Unexpanded
2000,Taku River,Coho Salmon,64700,Mark-Recapture,Unexpanded
2001,Taku River,Coho Salmon,104394,Mark-Recapture,Unexpanded
2002,Taku River,Coho Salmon,219360,Mark-Recapture,Unexpanded
2003,Taku River,Coho Salmon,183112,Mark-Recapture,Unexpanded
2004,Taku River,Coho Salmon,129327,Mark-Recapture,Unexpanded
2005,Taku River,Coho Salmon,135558,Mark-Recapture,Unexpanded
2006,Taku River,Coho Salmon,122384,Mark-Recapture,Unexpanded
2007,Taku River,Coho Salmon,74246,Mark-Recapture,Unexpanded
2008,Taku River,Coho Salmon,95226,Mark-Recapture,Unexpanded
2009,Taku River,Coho Salmon,103950,Mark-Recapture,Unexpanded
2010,Taku River,Coho Salmon,126830,Mark-Recapture,Unexpanded
2011,Taku River,Coho Salmon,70871,Mark-Recapture,Unexpanded
2012,Taku River,Coho Salmon,70775,Mark-Recapture,Unexpanded
2013,Taku River,Coho Salmon,68117,Mark-Recapture,Unexpanded
2014,Taku River,Coho Salmon,124171,Mark-Recapture,Unexpanded
2015,Taku River,Coho Salmon,60178,Mark-Recapture,Unexpanded
2016,Taku River,Coho Salmon,87704,Mark-Recapture,Unexpanded
2017,Taku River,Coho Salmon,57868,Mark-Recapture,Unexpanded
2018,Taku River,Coho Salmon,"51,173",Mark-Recapture,Unexpanded
2019,Taku River,Coho Salmon,"82,759",Mark-Recapture,Unexpanded
1972,Ford Arm Lake,Coho Salmon,NA,NA,NA
1973,Ford Arm Lake,Coho Salmon,NA,NA,NA
1974,Ford Arm Lake,Coho Salmon,NA,NA,NA
1975,Ford Arm Lake,Coho Salmon,NA,NA,NA
1976,Ford Arm Lake,Coho Salmon,NA,NA,NA
1977,Ford Arm Lake,Coho Salmon,NA,NA,NA
1978,Ford Arm Lake,Coho Salmon,NA,NA,NA
1979,Ford Arm Lake,Coho Salmon,NA,NA,NA
1980,Ford Arm Lake,Coho Salmon,NA,NA,NA
1981,Ford Arm Lake,Coho Salmon,NA,NA,NA
1982,Ford Arm Lake,Coho Salmon,2655,Weir/Mark-Recapture,Unexpanded
1983,Ford Arm Lake,Coho Salmon,1931,Weir/Mark-Recapture,Unexpanded
1984,Ford Arm Lake,Coho Salmon,NA,Weir/Mark-Recapture,Unexpanded
1985,Ford Arm Lake,Coho Salmon,2324,Weir/Mark-Recapture,Unexpanded
1986,Ford Arm Lake,Coho Salmon,1552,Weir/Mark-Recapture,Unexpanded
1987,Ford Arm Lake,Coho Salmon,1694,Weir/Mark-Recapture,Unexpanded
1988,Ford Arm Lake,Coho Salmon,3119,Weir/Mark-Recapture,Unexpanded
1989,Ford Arm Lake,Coho Salmon,2176,Weir/Mark-Recapture,Unexpanded
1990,Ford Arm Lake,Coho Salmon,2192,Weir/Mark-Recapture,Unexpanded
1991,Ford Arm Lake,Coho Salmon,2761,Weir/Mark-Recapture,Unexpanded
1992,Ford Arm Lake,Coho Salmon,3866,Weir/Mark-Recapture,Unexpanded
1993,Ford Arm Lake,Coho Salmon,4202,Weir/Mark-Recapture,Unexpanded
1994,Ford Arm Lake,Coho Salmon,3227,Weir/Mark-Recapture,Unexpanded
1995,Ford Arm Lake,Coho Salmon,2446,Weir/Mark-Recapture,Unexpanded
1996,Ford Arm Lake,Coho Salmon,2500,Weir/Mark-Recapture,Unexpanded
1997,Ford Arm Lake,Coho Salmon,4718,Weir/Mark-Recapture,Unexpanded
1998,Ford Arm Lake,Coho Salmon,7049,Weir/Mark-Recapture,Unexpanded
1999,Ford Arm Lake,Coho Salmon,3800,Weir/Mark-Recapture,Unexpanded
2000,Ford Arm Lake,Coho Salmon,2304,Weir/Mark-Recapture,Unexpanded
2001,Ford Arm Lake,Coho Salmon,2209,Weir/Mark-Recapture,Unexpanded
2002,Ford Arm Lake,Coho Salmon,7109,Weir/Mark-Recapture,Unexpanded
2003,Ford Arm Lake,Coho Salmon,6789,Weir/Mark-Recapture,Unexpanded
2004,Ford Arm Lake,Coho Salmon,3539,Weir/Mark-Recapture,Unexpanded
2005,Ford Arm Lake,Coho Salmon,4257,Weir/Mark-Recapture,Unexpanded
2006,Ford Arm Lake,Coho Salmon,4737,Weir/Mark-Recapture,Unexpanded
2007,Ford Arm Lake,Coho Salmon,2567,Weir/Mark-Recapture,Unexpanded
2008,Ford Arm Lake,Coho Salmon,5173,Weir/Mark-Recapture,Unexpanded
2009,Ford Arm Lake,Coho Salmon,2181,Weir/Mark-Recapture,Unexpanded
2010,Ford Arm Lake,Coho Salmon,1610,Weir/Mark-Recapture,Unexpanded
2011,Ford Arm Lake,Coho Salmon,1908,Weir/Mark-Recapture,Unexpanded
2012,Ford Arm Lake,Coho Salmon,2282,Weir/Mark-Recapture,Unexpanded
2013,Ford Arm Lake,Coho Salmon,1573,Weir/Mark-Recapture,Unexpanded
2014,Ford Arm Lake,Coho Salmon,3025,Weir/Mark-Recapture,Unexpanded
2015,Ford Arm Lake,Coho Salmon,3281,Weir/Mark-Recapture,Unexpanded
2016,Ford Arm Lake,Coho Salmon,NA,NA,NA
2017,Ford Arm Lake,Coho Salmon,NA,NA,NA
2018,Ford Arm Lake,Coho Salmon,NA,NA,NA
2019,Ford Arm Lake,Coho Salmon,NA,NA,NA
1972,Sitka Survey Index,Coho Salmon,NA,NA,NA
1973,Sitka Survey Index,Coho Salmon,NA,NA,NA
1974,Sitka Survey Index,Coho Salmon,NA,NA,NA
1975,Sitka Survey Index,Coho Salmon,NA,NA,NA
1976,Sitka Survey Index,Coho Salmon,NA,NA,NA
1977,Sitka Survey Index,Coho Salmon,NA,NA,NA
1978,Sitka Survey Index,Coho Salmon,NA,NA,NA
1979,Sitka Survey Index,Coho Salmon,NA,NA,NA
1980,Sitka Survey Index,Coho Salmon,NA,NA,NA
1981,Sitka Survey Index,Coho Salmon,NA,NA,NA
1982,Sitka Survey Index,Coho Salmon,1545,Survey,Unexpanded
1983,Sitka Survey Index,Coho Salmon,457,Survey,Unexpanded
1984,Sitka Survey Index,Coho Salmon,2063,Survey,Unexpanded
1985,Sitka Survey Index,Coho Salmon,1246,Survey,Unexpanded
1986,Sitka Survey Index,Coho Salmon,702,Survey,Unexpanded
1987,Sitka Survey Index,Coho Salmon,293,Survey,Unexpanded
1988,Sitka Survey Index,Coho Salmon,403,Survey,Unexpanded
1989,Sitka Survey Index,Coho Salmon,576,Survey,Unexpanded
1990,Sitka Survey Index,Coho Salmon,566,Survey,Unexpanded
1991,Sitka Survey Index,Coho Salmon,1510,Survey,Unexpanded
1992,Sitka Survey Index,Coho Salmon,1899,Survey,Unexpanded
1993,Sitka Survey Index,Coho Salmon,1716,Survey,Unexpanded
1994,Sitka Survey Index,Coho Salmon,1965,Survey,Unexpanded
1995,Sitka Survey Index,Coho Salmon,1487,Survey,Unexpanded
1996,Sitka Survey Index,Coho Salmon,1451,Survey,Unexpanded
1997,Sitka Survey Index,Coho Salmon,809,Survey,Unexpanded
1998,Sitka Survey Index,Coho Salmon,1242,Survey,Unexpanded
1999,Sitka Survey Index,Coho Salmon,776,Survey,Unexpanded
2000,Sitka Survey Index,Coho Salmon,803,Survey,Unexpanded
2001,Sitka Survey Index,Coho Salmon,1515,Survey,Unexpanded
2002,Sitka Survey Index,Coho Salmon,1868,Survey,Unexpanded
2003,Sitka Survey Index,Coho Salmon,1101,Survey,Unexpanded
2004,Sitka Survey Index,Coho Salmon,1124,Survey,Unexpanded
2005,Sitka Survey Index,Coho Salmon,1668,Survey,Unexpanded
2006,Sitka Survey Index,Coho Salmon,2647,Survey,Unexpanded
2007,Sitka Survey Index,Coho Salmon,1066,Survey,Unexpanded
2008,Sitka Survey Index,Coho Salmon,1117,Survey,Unexpanded
2009,Sitka Survey Index,Coho Salmon,1156,Survey,Unexpanded
2010,Sitka Survey Index,Coho Salmon,1273,Survey,Unexpanded
2011,Sitka Survey Index,Coho Salmon,2222,Survey,Unexpanded
2012,Sitka Survey Index,Coho Salmon,1157,Survey,Unexpanded
2013,Sitka Survey Index,Coho Salmon,1414,Survey,Unexpanded
2014,Sitka Survey Index,Coho Salmon,2161,Survey,Unexpanded
2015,Sitka Survey Index,Coho Salmon,2244,Survey,Unexpanded
2016,Sitka Survey Index,Coho Salmon,2943,Survey,Unexpanded
2017,Sitka Survey Index,Coho Salmon,1280,Survey,Unexpanded
2018,Sitka Survey Index,Coho Salmon,1502,Survey,Unexpanded
2019,Sitka Survey Index,Coho Salmon,1480,Survey,Unexpanded
1972,Hugh Smith Lake,Coho Salmon,NA,NA,NA
1973,Hugh Smith Lake,Coho Salmon,NA,NA,NA
1974,Hugh Smith Lake,Coho Salmon,NA,NA,NA
1975,Hugh Smith Lake,Coho Salmon,NA,NA,NA
1976,Hugh Smith Lake,Coho Salmon,NA,NA,NA
1977,Hugh Smith Lake,Coho Salmon,NA,NA,NA
1978,Hugh Smith Lake,Coho Salmon,NA,NA,NA
1979,Hugh Smith Lake,Coho Salmon,NA,NA,NA
1980,Hugh Smith Lake,Coho Salmon,NA,NA,NA
1981,Hugh Smith Lake,Coho Salmon,NA,NA,NA
1982,Hugh Smith Lake,Coho Salmon,2144,Weir,Unexpanded
1983,Hugh Smith Lake,Coho Salmon,1487,Weir,Unexpanded
1984,Hugh Smith Lake,Coho Salmon,1407,Weir,Unexpanded
1985,Hugh Smith Lake,Coho Salmon,903,Weir,Unexpanded
1986,Hugh Smith Lake,Coho Salmon,1782,Weir,Unexpanded
1987,Hugh Smith Lake,Coho Salmon,1117,Weir,Unexpanded
1988,Hugh Smith Lake,Coho Salmon,513,Weir,Unexpanded
1989,Hugh Smith Lake,Coho Salmon,433,Weir,Unexpanded
1990,Hugh Smith Lake,Coho Salmon,870,Weir,Unexpanded
1991,Hugh Smith Lake,Coho Salmon,1836,Weir,Unexpanded
1992,Hugh Smith Lake,Coho Salmon,1426,Weir,Unexpanded
1993,Hugh Smith Lake,Coho Salmon,832,Weir,Unexpanded
1994,Hugh Smith Lake,Coho Salmon,1753,Weir,Unexpanded
1995,Hugh Smith Lake,Coho Salmon,1781,Weir,Unexpanded
1996,Hugh Smith Lake,Coho Salmon,950,Weir,Unexpanded
1997,Hugh Smith Lake,Coho Salmon,732,Weir,Unexpanded
1998,Hugh Smith Lake,Coho Salmon,983,Weir,Unexpanded
1999,Hugh Smith Lake,Coho Salmon,1246,Weir,Unexpanded
2000,Hugh Smith Lake,Coho Salmon,600,Weir,Unexpanded
2001,Hugh Smith Lake,Coho Salmon,1580,Weir,Unexpanded
2002,Hugh Smith Lake,Coho Salmon,3291,Weir,Unexpanded
2003,Hugh Smith Lake,Coho Salmon,1510,Weir,Unexpanded
2004,Hugh Smith Lake,Coho Salmon,840,Weir,Unexpanded
2005,Hugh Smith Lake,Coho Salmon,1732,Weir,Unexpanded
2006,Hugh Smith Lake,Coho Salmon,891,Weir,Unexpanded
2007,Hugh Smith Lake,Coho Salmon,1244,Weir,Unexpanded
2008,Hugh Smith Lake,Coho Salmon,1741,Weir,Unexpanded
2009,Hugh Smith Lake,Coho Salmon,2281,Weir,Unexpanded
2010,Hugh Smith Lake,Coho Salmon,2878,Weir,Unexpanded
2011,Hugh Smith Lake,Coho Salmon,2137,Weir,Unexpanded
2012,Hugh Smith Lake,Coho Salmon,1908,Weir,Unexpanded
2013,Hugh Smith Lake,Coho Salmon,3048,Weir,Unexpanded
2014,Hugh Smith Lake,Coho Salmon,4110,Weir,Unexpanded
